"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Django",8.4,8.25,"Western",8.11955687967658,8.88,463794,1300624,"Quentin Tarantino","Jamie Foxx","Christoph Waltz","Leonardo DiCaprio","Kerry Washington",0.825,0.84
"Mroczny Rycerz Powstaje",8.4,7.64,"Action",7.99831651654594,8.68,291311,1465184,"Christopher Nolan","Christian Bale","Tom Hardy","Anne Hathaway","Gary Oldman",0.764,0.84
"Gwiazdy Na Ziemi",8.4,6.53,"Drama",8.09227410144441,8.09,3846,157966,"Aamir Khan","Darsheel Safary","Aamir Khan","Tisca Chopra","Vipin Sharma",0.653,0.84
"Wall·e",8.4,7.55,"Animation",6.72250039686013,7.82,282290,964195,"Andrew Stanton","Ben Burtt","Elissa Knight","Jeff Garlin","Fred Willard",0.755,0.84
"Życie Na Podsłuchu",8.4,7.47,"Drama",6.90058490739812,7.17,45019,345236,"Florian Henckel von Donnersmarck","Ulrich Mühe","Martina Gedeck","Sebastian Koch","Ulrich Tukur",0.747,0.84
"Oldboy",8.4,7.51,"Action",7.11683257605448,8.36,81239,494179,"Chan-wook Park","Min-sik Choi","Ji-Tae Yoo","Hye-jeong Kang","Dae-han Ji",0.751,0.84
"Memento",8.4,7.52,"Thriller",7.31998950813774,8.68,185210,1086224,"Christopher Nolan","Guy Pearce","Carrie-Anne Moss","Joe Pantoliano","Mark Boone Junior",0.752,0.84
"Księżniczka Mononoke",8.4,7.77,"Animation",7.23893235158767,8.06,75341,323858,"Hayao Miyazaki","Yôji Matsuda","Yuriko Ishida","Yûko Tanaka","Billy Crudup",0.777,0.84
"Dawno Temu W Ameryce",8.4,8,"Crime",7.52509552286145,8.7,102031,297905,"Sergio Leone","Robert De Niro","James Woods","Elizabeth McGovern","Treat Williams",0.8,0.84
"Poszukiwacze Zaginionej Arki",8.4,7.64,"Action",7.60717853240503,8.11,259554,856231,"Steven Spielberg","Harrison Ford","Karen Allen","Paul Freeman","John Rhys-Davies",0.764,0.84
"Lśnienie",8.4,7.76,"Thriller",7.54009806774049,8.84,395501,855720,"Stanley Kubrick","Jack Nicholson","Shelley Duvall","Danny Lloyd","Scatman Crothers",0.776,0.84
"Czas Apokalipsy",8.4,8.08,"Drama",7.67492148161637,8.73,172367,583341,"Francis Ford Coppola","Martin Sheen","Marlon Brando","Robert Duvall","Frederic Forrest",0.808,0.84
"Obcy - 8. Pasażer Nostromo",8.4,7.74,"Horror",7.30366089728098,7.93,273119,758946,"Ridley Scott","Sigourney Weaver","Tom Skerritt","John Hurt","Veronica Cartwright",0.774,0.84
"Dr Strangelove, Czyli Jak Przestałem Się Martwić I Pokochałem Bombę",8.4,7.58,"Comedy",7.43549733851785,8.84,37213,436400,"Stanley Kubrick","Peter Sellers","George C. Scott","Sterling Hayden","Keenan Wynn",0.758,0.84
"Świadek Oskarżenia",8.4,7.33,"Crime",7.26311574143901,8.13,15272,102197,"Billy Wilder","Tyrone Power","Marlene Dietrich","Charles Laughton","Elsa Lanchester",0.733,0.84
"Ścieżki Chwały",8.4,7.1,"War",7.22178684199851,8.84,12217,169668,"Stanley Kubrick","Kirk Douglas","Ralph Meeker","Adolphe Menjou","George Macready",0.71,0.84
"Okno Na Podwórze",8.4,7.61,"Thriller",7.38908563547468,8.48,55247,426536,"Alfred Hitchcock","James Stewart","Grace Kelly","Wendell Corey","Thelma Ritter",0.761,0.84
"Bulwar Zachodzącego Słońca",8.4,7.37,"Drama",7.26925468597944,8.13,18924,192758,"Billy Wilder","William Holden","Gloria Swanson","Erich von Stroheim","Nancy Olson",0.737,0.84
"Dyktator",8.4,7.56,"Comedy",7.2768663730282,7.96,35076,194443,"Charles Chaplin","Charles Chaplin","Paulette Goddard","Jack Oakie","Reginald Gardiner",0.756,0.84
"1917",8.3,7.45,"War",7.45886296937198,8.14,57618,323179,"Sam Mendes","Dean-Charles Chapman","George MacKay","Daniel Mays","Colin Firth",0.745,0.83
"Polowanie",8.3,7.65,"Drama",7.01980889414128,7.81,111223,264795,"Thomas Vinterberg","Mads Mikkelsen","Thomas Bo Larsen","Annika Wedderkopp","Lasse Fogelstrøm",0.765,0.83
"Rozstanie",8.3,7.26,"Drama",6.88305084745763,7.91,37212,211411,"Asghar Farhadi","Payman Maadi","Leila Hatami","Sareh Bayat","Shahab Hosseini",0.726,0.83
"Pogorzelisko",8.3,7.73,"Drama",6.90327183891824,8.39,46756,139001,"Denis Villeneuve","Lubna Azabal","Mélissa Désormeaux-Poulin","Maxim Gaudette","Mustafa Kamel",0.773,0.83
