"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Więzy Krwi",8,6.71,"Crime",6.80461433195564,7.81,5953,27971,"Taylor Hackford","Damian Chapa","Jesse Borrego","Benjamin Bratt","Enrique Castillo",0.671,0.8
"Zapach Kobiety",8,8.04,"Drama",7.43463307767339,7.83,337359,248423,"Martin Brest","Al Pacino","Chris O'Donnell","James Rebhorn","Gabrielle Anwar",0.804,0.8
"Aladyn",8,7.2,"Animation",8.35310370158756,7.71,59912,358699,"Ron Clements","Scott Weinger","Robin Williams","Linda Larkin","Jonathan Freeman",0.72,0.8
"Jfk",8,7.21,"Drama",8.00581237598691,7.84,24358,136893,"Oliver Stone","Kevin Costner","Gary Oldman","Jack Lemmon","Walter Matthau",0.721,0.8
"Tańczący Z Wilkami",8,7.65,"Adventure",7.29631680817666,7.79,111404,232643,"Kevin Costner","Kevin Costner","Mary McDonnell","Graham Greene","Rodney A. Grant",0.765,0.8
"Rain Man",8,7.88,"Drama",7.46341585157967,7.85,159167,460879,"Barry Levinson","Dustin Hoffman","Tom Cruise","Valeria Golino","Gerald R. Molen",0.788,0.8
"Niebo Nad Berlinem",8,6.99,"Drama",7.69595288432498,7.73,10960,61980,"Wim Wenders","Bruno Ganz","Solveig Dommartin","Otto Sander","Curt Bois",0.699,0.8
"Terminator",8,7.34,"Action",7.39965648325867,8.47,242234,776210,"James Cameron","Arnold Schwarzenegger","Linda Hamilton","Michael Biehn","Paul Winfield",0.734,0.8
"Gandhi",8,6.88,"Biography",7.26416705304864,7.39,12286,213742,"Richard Attenborough","Ben Kingsley","John Gielgud","Rohini Hattangadi","Roshan Seth",0.688,0.8
"Sobowtór",8,6.41,"Drama",7.38261339092873,8.37,5212,30691,"Akira Kurosawa","Tatsuya Nakadai","Tsutomu Yamazaki","Ken'ichi Hagiwara","Jinpachi Nezu",0.641,0.8
"Wystarczy Być",8,6.56,"Comedy",7.57466558261751,7.41,5343,63434,"Hal Ashby","Peter Sellers","Shirley MacLaine","Melvyn Douglas","Jack Warden",0.656,0.8
"Annie Hall",8,7.54,"Comedy",7.15199763987568,7.49,59117,246240,"Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","Carol Kane",0.754,0.8
"Wszyscy Ludzie Prezydenta",8,7.05,"Biography",7.64263168746591,7.64,19193,98486,"Alan J. Pakula","Dustin Hoffman","Robert Redford","Jack Warden","Martin Balsam",0.705,0.8
"Szczęki",8,6.9,"Thriller",7.20861668603988,8.11,94267,529810,"Steven Spielberg","Roy Scheider","Robert Shaw","Richard Dreyfuss","Lorraine Gary",0.69,0.8
"Pieskie Popołudnie",8,7.32,"Biography",8.21693234438881,8.23,34365,228414,"Sidney Lumet","Al Pacino","John Cazale","Penelope Allen","Sully Boyar",0.732,0.8
"Młody Frankenstein",8,6.88,"Comedy",7.11261375692536,7.25,12196,139012,"Mel Brooks","Gene Wilder","Madeline Kahn","Marty Feldman","Peter Boyle",0.688,0.8
"Motylek",8,7.52,"Biography",7.99549066480502,7.76,31573,118190,"Franklin J. Schaffner","Steve McQueen","Dustin Hoffman","Victor Jory","Don Gordon",0.752,0.8
"Egzorcysta",8,7.38,"Horror",7.562786935672,7.66,119861,350930,"William Friedkin","Ellen Burstyn","Max von Sydow","Linda Blair","Lee J. Cobb",0.738,0.8
"Detektyw",8,6.37,"Thriller",7.96899600137075,8.1,2614,43687,"Joseph L. Mankiewicz","Laurence Olivier","Michael Caine","Alec Cawthorne","John Matthews",0.637,0.8
"Ostatni Seans Filmowy",8,6.6,"Drama",7.11646983295822,6.72,4565,40593,"Peter Bogdanovich","Timothy Bottoms","Jeff Bridges","Cybill Shepherd","Ben Johnson",0.66,0.8
"Skrzypek Na Dachu",8,7.73,"Drama",7.16134645363858,7.73,62984,37601,"Norman Jewison","Topol","Norma Crane","Leonard Frey","Molly Picon",0.773,0.8
"Konformista",8,6.34,"Drama",7.43591865689288,7.66,3229,25512,"Bernardo Bertolucci","Jean-Louis Trintignant","Stefania Sandrelli","Gastone Moschin","Enzo Tarascio",0.634,0.8
"Butch Cassidy I Sundance Kid",8,7.23,"Western",7.45022939196291,8.04,18365,197652,"George Roy Hill","Paul Newman","Robert Redford","Katharine Ross","Strother Martin",0.723,0.8
"Dziecko Rosemary",8,7.58,"Drama",7.15539412355765,8.3,137447,184470,"Roman Polanski","Mia Farrow","John Cassavetes","Ruth Gordon","Sidney Blackmer",0.758,0.8
"Planeta Małp",8,6.99,"Adventure",7.07265886335379,7.76,32576,161561,"Franklin J. Schaffner","Charlton Heston","Roddy McDowall","Kim Hunter","Maurice Evans",0.699,0.8
"Absolwent",8,7.68,"Comedy",7.35728854591508,8.13,76375,247766,"Mike Nichols","Dustin Hoffman","Anne Bancroft","Katharine Ross","William Daniels",0.768,0.8
"Kto Się Boi Virginii Woolf?",8,7.18,"Drama",7.39921224618149,8.13,16309,67024,"Mike Nichols","Elizabeth Taylor","Richard Burton","George Segal","Sandy Dennis",0.718,0.8
"Dźwięki Muzyki",8,7.08,"Biography",7.34260845058466,7.54,13283,196431,"Robert Wise","Julie Andrews","Christopher Plummer","Eleanor Parker","Richard Haydn",0.708,0.8
"Doktor Żywago",8,6.59,"Drama",7.35342219679014,8.33,9727,67547,"David Lean","Omar Sharif","Julie Christie","Geraldine Chaplin","Rod Steiger",0.659,0.8
"Za Garść Dolarów",8,7.45,"Western",8.00962245588663,8.7,41640,189462,"Sergio Leone","Clint Eastwood","Gian Maria Volontè","Marianne Koch","Wolfgang Lukschy",0.745,0.8
"Osiem I Pół",8,7.23,"Drama",7.29994647722801,8.36,21693,104990,"Federico Fellini","Marcello Mastroianni","Anouk Aimée","Claudia Cardinale","Sandra Milo",0.723,0.8
"Żyć Własnym Życiem",8,6.53,"Drama",7.01583113456464,7.74,5006,26003,"Jean-Luc Godard","Anna Karina","Sady Rebbot","André S. Labarthe","Guylaine Schlumberger",0.653,0.8
"Bilardzista",8,6.62,"Drama",7.55800991256748,7.49,5803,73368,"Robert Rossen","Paul Newman","Jackie Gleason","Piper Laurie","George C. Scott",0.662,0.8
"Słodkie Życie",8,7.21,"Comedy",7.05473607372131,8.36,17688,63499,"Federico Fellini","Marcello Mastroianni","Anita Ekberg","Anouk Aimée","Yvonne Furneaux",0.721,0.8
"Rio Bravo",8,7.29,"Western",7.20045025657928,7.83,21352,53990,"Howard Hawks","John Wayne","Dean Martin","Ricky Nelson","Angie Dickinson",0.729,0.8
"Anatomia Morderstwa",8,6.64,"Crime",7.21602489510364,7.65,5040,57411,"Otto Preminger","James Stewart","Lee Remick","Ben Gazzara","Arthur O'Connell",0.664,0.8
"Dotyk Zła",8,6.62,"Crime",7.30871915858156,7.62,6315,96060,"Orson Welles","Charlton Heston","Orson Welles","Janet Leigh","Joseph Calleia",0.662,0.8
"Kotka Na Gorącym Blaszanym Dachu",8,7.25,"Drama",7.74228456877839,8.01,19079,43263,"Richard Brooks","Elizabeth Taylor","Paul Newman","Burl Ives","Jack Carson",0.725,0.8
"Zabójstwo",8,6.58,"Crime",7.24348230912477,8.84,6350,78470,"Stanley Kubrick","Sterling Hayden","Coleen Gray","Vince Edwards","Jay C. Flippen",0.658,0.8
"Noc Myśliwego",8,6.33,"Crime",7.06270601841818,7.56,3449,79069,"Charles Laughton","Robert Mitchum","Shelley Winters","Lillian Gish","James Gleason",0.633,0.8
"La Strada",8,7.24,"Drama",7.28844589534419,8.36,18788,56212,"Federico Fellini","Anthony Quinn","Giulietta Masina","Richard Basehart","Aldo Silvani",0.724,0.8
"Widmo",8,6.41,"Crime",6.9646878198567,8.04,3128,59722,"Henri-Georges Clouzot","Simone Signoret","Véra Clouzot","Paul Meurisse","Charles Vanel",0.641,0.8
"Stalag 17",8,6.2,"Comedy",7.61763903104742,8.13,1532,49890,"Billy Wilder","William Holden","Don Taylor","Otto Preminger","Robert Strauss",0.62,0.8
"Rzymskie Wakacje",8,7.62,"Comedy",7.45721863620045,8.19,58005,123278,"William Wyler","Gregory Peck","Audrey Hepburn","Eddie Albert","Hartley Power",0.762,0.8
"Tramwaj Zwany Pożądaniem",8,7.35,"Drama",7.68285837820731,8.27,38628,96056,"Elia Kazan","Vivien Leigh","Marlon Brando","Kim Hunter","Karl Malden",0.735,0.8
"Nieznajomi Z Pociągu",8,6.75,"Crime",6.81846566066589,8.48,10104,119622,"Alfred Hitchcock","Farley Granger","Robert Walker","Ruth Roman","Leo G. Carroll",0.675,0.8
"Sznur",8,6.67,"Crime",7.44240448271802,8.48,8087,123842,"Alfred Hitchcock","James Stewart","John Dall","Farley Granger","Dick Hogan",0.667,0.8
"Spotkanie",8,6.24,"Drama",6.97565947242206,8.33,1424,40972,"David Lean","Celia Johnson","Trevor Howard","Stanley Holloway","Joyce Carey",0.624,0.8
"Laura",8,6.35,"Drama",7.10388901563117,7.65,2835,41061,"Otto Preminger","Gene Tierney","Dana Andrews","Clifton Webb","Vincent Price",0.635,0.8
"Najlepsze Lata Naszego Życia",8,6.34,"Drama",7.215723853057,8.19,2078,55748,"William Wyler","Myrna Loy","Dana Andrews","Fredric March","Teresa Wright",0.634,0.8
"Arszenik I Stare Koronki",8,6.99,"Comedy",7.31440157978409,8.33,10912,63640,"Frank Capra","Cary Grant","Priscilla Lane","Raymond Massey","Jack Carson",0.699,0.8
"Sokół Maltański",8,7.14,"Crime",7.3444100473099,7.01,20305,145517,"John Huston","Humphrey Bogart","Mary Astor","Gladys George","Peter Lorre",0.714,0.8
"Grona Gniewu",8,6.36,"Drama",7.29324304625638,7.65,3134,84010,"John Ford","Henry Fonda","Jane Darwell","John Carradine","Charley Grapewin",0.636,0.8
"Czarnoksiężnik Z Oz",8,7,"Adventure",7.21794871794872,8.3,25407,364133,"Victor Fleming","Judy Garland","Frank Morgan","Ray Bolger","Bert Lahr",0.7,0.8
"Reguły Gry",8,6.15,"Comedy",6.76047819971871,7.42,1310,25749,"Jean Renoir","Marcel Dalio","Nora Gregor","Paulette Dubost","Mila Parély",0.615,0.8
"Na Noże",7.9,7.61,"Comedy",7.94049540062823,7.46,82854,314910,"Rian Johnson","Daniel Craig","Chris Evans","Ana de Armas","Jamie Lee Curtis",0.761,0.79
"Dżentelmeni",7.9,7.36,"Action",7.76076552461895,8.13,39580,144046,"Guy Ritchie","Matthew McConaughey","Charlie Hunnam","Michelle Dockery","Jeremy Strong",0.736,0.79
"Tamte Dni, Tamte Noce",7.9,7.54,"Drama",7.5616543794909,8.2,99103,192808,"Luca Guadagnino","Armie Hammer","Timothée Chalamet","Michael Stuhlbarg","Amira Casar",0.754,0.79
"Ja, Daniel Blake",7.9,6.86,"Drama",6.90859706277795,7.55,15737,50327,"Ken Loach","Dave Johns","Hayley Squires","Sharon Percy","Briana Shann",0.686,0.79
"Wyspa Psów",7.9,7.37,"Animation",7.92835842325516,8.65,32239,129211,"Wes Anderson","Bryan Cranston","Koyu Rankin","Edward Norton","Bob Balaban",0.737,0.79
"Dunkierka",7.9,7.22,"War",7.71026266330934,8.68,159680,519652,"Christopher Nolan","Fionn Whitehead","Barry Keoghan","Mark Rylance","Tom Hardy",0.722,0.79
"Dzikie Łowy",7.9,7.11,"Adventure",7.08437363608927,8.01,28894,101968,"Taika Waititi","Sam Neill","Julian Dennison","Rima Te Wiata","Rachel House",0.711,0.79
"Captain Fantastic",7.9,7.41,"Comedy",7.5423156316477,6.84,74671,178330,"Matt Ross","Viggo Mortensen","George MacKay","Samantha Isler","Annalise Basso",0.741,0.79
"Młodzi Przebojowi",7.9,6.71,"Comedy",7.15878354367891,7.44,8912,81421,"John Carney","Ferdia Walsh-Peelo","Aidan Gillen","Maria Doyle Kennedy","Jack Reynor",0.671,0.79
"Thor: Ragnarok",7.9,7.69,"Action",8.16475443019388,8.01,156808,553652,"Taika Waititi","Chris Hemsworth","Tom Hiddleston","Cate Blanchett","Mark Ruffalo",0.769,0.79
"Małe Kobietki",7.9,7.15,"Drama",7.73135753056033,7.41,34656,108035,"Greta Gerwig","Saoirse Ronan","Emma Watson","Florence Pugh","Eliza Scanlen",0.715,0.79
"Jojo Rabbit",7.9,7.56,"Comedy",7.8893555732594,8.01,65207,222972,"Taika Waititi","Roman Griffin Davis","Thomasin McKenzie","Scarlett Johansson","Taika Waititi",0.756,0.79
"Nowy Początek",7.9,7.13,"Drama",7.59950451071667,8.39,170154,566344,"Denis Villeneuve","Amy Adams","Jeremy Renner","Forest Whitaker","Michael Stuhlbarg",0.713,0.79
"Gwiezdne Wojny: Przebudzenie Mocy",7.9,7.25,"Sci-Fi",7.3689925885043,7.38,226432,839007,"J.J. Abrams","Daisy Ridley","John Boyega","Oscar Isaac","Domhnall Gleeson",0.725,0.79
"Przed Północą",7.9,6.73,"Drama",7.13383621652125,7.96,27415,133831,"Richard Linklater","Ethan Hawke","Julie Delpy","Seamus Davey-Fitzpatrick","Ariane Labed",0.673,0.79
"Pewnego Razu W Anatolii",7.9,6.25,"Crime",6.86013864818024,7.63,4590,39031,"Nuri Bilge Ceylan","Muhammet Uzuner","Yilmaz Erdogan","Taner Birsel","Ahmet Mümtaz Taylan",0.625,0.79
"Artysta",7.9,7.24,"Comedy",7.40614704904029,7.83,46767,225474,"Michel Hazanavicius","Jean Dujardin","Bérénice Bejo","John Goodman","James Cromwell",0.724,0.79
"Na Skraju Jutra",7.9,7.32,"Sci-Fi",7.67440694548864,7.72,164360,579440,"Doug Liman","Tom Cruise","Emily Blunt","Bill Paxton","Brendan Gleeson",0.732,0.79
"Miłość",7.9,6.58,"Drama",7.50514505553669,8.3,5139,90141,"Michael Haneke","Jean-Louis Trintignant","Emmanuelle Riva","Isabelle Huppert","Alexandre Tharaud",0.658,0.79
"Straight Outta Compton",7.9,7.43,"Biography",7.03270813846037,7.66,52035,174164,"F. Gary Gray","O'Shea Jackson Jr.","Corey Hawkins","Jason Mitchell","Neil Brown Jr.",0.743,0.79
"Irlandczyk",7.9,6.97,"Biography",8.36685953779425,8.59,76621,292918,"Martin Scorsese","Robert De Niro","Al Pacino","Joe Pesci","Harvey Keitel",0.697,0.79
"Prorok",7.9,6.99,"Crime",6.96407625146568,7.46,32618,91318,"Jacques Audiard","Tahar Rahim","Niels Arestrup","Adel Bencherif","Reda Kateb",0.699,0.79
"W Pogoni",7.9,6.56,"Action",7.05523255813953,7.71,6597,55060,"Hong-jin Na","Yoon-seok Kim","Jung-woo Ha","Yeong-hie Seo","Yoo-Jeong Kim",0.656,0.79
"Moon",7.9,7.26,"Drama",7.85977776621693,7.3,90331,326521,"Duncan Jones","Sam Rockwell","Kevin Spacey","Dominique McElligott","Rosie Shaw",0.726,0.79
"Dystrykt 9",7.9,7.05,"Sci-Fi",7.01488142101643,8,218351,626281,"Neill Blomkamp","Sharlto Copley","David James","Jason Cope","Nathalie Boltt",0.705,0.79
"Zapaśnik",7.9,7.01,"Drama",7.4211873543644,8.14,113047,284685,"Darren Aronofsky","Mickey Rourke","Marisa Tomei","Evan Rachel Wood","Mark Margolis",0.701,0.79
"Boyhood",7.9,6.89,"Drama",7.41039436684304,7.96,78970,328212,"Richard Linklater","Ellar Coltrane","Patricia Arquette","Ethan Hawke","Elijah Smith",0.689,0.79
"4 Miesiące, 3 Tygodnie I 2 Dni",7.9,6.98,"Drama",6.74738165018114,7.8,23705,54886,"Cristian Mungiu","Anamaria Marinca","Laura Vasiliu","Vlad Ivanov","Alexandru Potocean",0.698,0.79
"Star Trek",7.9,6.45,"Sci-Fi",7.55561253276085,7.38,10038,569160,"J.J. Abrams","Chris Pine","Zachary Quinto","Simon Pegg","Leonard Nimoy",0.645,0.79
"Najpierw Strzelaj, Potem Zwiedzaj",7.9,7.11,"Comedy",7.48555298197442,8.3,57627,380135,"Martin McDonagh","Colin Farrell","Brendan Gleeson","Ciarán Hinds","Elizabeth Berrington",0.711,0.79
"Listy Z Iwo Jimy",7.9,7.24,"War",7.29394833606133,8.59,33950,151049,"Clint Eastwood","Ken Watanabe","Kazunari Ninomiya","Tsuyoshi Ihara","Ryô Kase",0.724,0.79
"Magia Uczuć",7.9,6.79,"Adventure",7.22886525390111,6.76,9788,105050,"Tarsem Singh","Lee Pace","Catinca Untaru","Justine Waddell","Kim Uylenbroek",0.679,0.79
"Życie Pi",7.9,7.12,"Adventure",7.01058264440726,7.87,144119,565068,"Ang Lee","Suraj Sharma","Irrfan Khan","Adil Hussain","Tabu",0.712,0.79
"Fantastyczny Pan Lis",7.9,7.35,"Animation",7.57488929107338,8.65,52917,189900,"Wes Anderson","George Clooney","Meryl Streep","Bill Murray","Jason Schwartzman",0.735,0.79
"C.r.a.z.y.",7.9,6.81,"Comedy",6.81670652545268,8.15,9053,30960,"Jean-Marc Vallée","Michel Côté","Marc-André Grondin","Danielle Proulx","Émile Vallée",0.681,0.79
"Pan Od Muzyki",7.9,7.82,"Drama",7.26552068589298,7.56,102687,55600,"Christophe Barratier","Gérard Jugnot","François Berléand","Jean-Baptiste Maunier","Kad Merad",0.782,0.79
"Iron Man",7.9,7.56,"Action",7.82725178926494,7.26,357339,912878,"Jon Favreau","Robert Downey Jr.","Gwyneth Paltrow","Terrence Howard","Jeff Bridges",0.756,0.79
"Wysyp Żywych Trupów",7.9,6.57,"Comedy",7.23697943022983,8.18,44900,497571,"Edgar Wright","Simon Pegg","Nick Frost","Kate Ashfield","Lucy Davis",0.657,0.79
"Głową W Mur",7.9,7.03,"Drama",7.13902888752305,7.38,13319,49563,"Fatih Akin","Birol Ünel","Sibel Kekilli","Güven Kiraç","Zarah Jane McKenzie",0.703,0.79
"Rzeka Tajemnic",7.9,7.6,"Crime",7.83106056316124,8.59,162512,407628,"Clint Eastwood","Sean Penn","Tim Robbins","Kevin Bacon","Emmy Rossum",0.76,0.79
"Harry Potter I Więzień Azkabanu",7.9,7.66,"Adventure",7.78601278647387,8.15,390806,525760,"Alfonso Cuarón","Daniel Radcliffe","Emma Watson","Rupert Grint","Richard Griffiths",0.766,0.79
"Hero",7.9,7.19,"Action",7.38958985875358,7.75,55129,170987,"Yimou Zhang","Jet Li","Tony Chiu-Wai Leung","Maggie Cheung","Ziyi Zhang",0.719,0.79
"Porozmawiaj Z Nią",7.9,7.38,"Drama",7.13825525809453,8.15,62603,101856,"Pedro Almodóvar","Rosario Flores","Javier Cámara","Darío Grandinetti","Leonor Watling",0.738,0.79
"Tożsamość Bourne'a",7.9,7.53,"Action",7.5410223414232,7.72,227064,494806,"Doug Liman","Franka Potente","Matt Damon","Chris Cooper","Clive Owen",0.753,0.79
"Ludzkie Dzieci",7.9,6.79,"Drama",7.70430004794869,8.15,72797,450226,"Alfonso Cuarón","Julianne Moore","Clive Owen","Chiwetel Ejiofor","Michael Caine",0.679,0.79
"U Progu Sławy",7.9,6.77,"Adventure",7.36903421510564,7,14468,244770,"Cameron Crowe","Billy Crudup","Patrick Fugit","Kate Hudson","Frances McDormand",0.677,0.79
"Boogie Nights",7.9,6.87,"Drama",7.4268186130163,8.3,25895,230821,"Paul Thomas Anderson","Mark Wahlberg","Julianne Moore","Burt Reynolds","Luis Guzmán",0.687,0.79
"Przełamując Fale",7.9,7.47,"Drama",7.30344661943765,7.76,43858,60475,"Lars von Trier","Emily Watson","Stellan Skarsgård","Katrin Cartlidge","Jean-Marc Barr",0.747,0.79
"Tylko Instynkt",7.9,6.18,"Crime",6.76373561336792,6.74,1346,30612,"Lee Tamahori","Rena Owen","Temuera Morrison","Mamaengaroa Kerr-Bell","Julian Arahanga",0.618,0.79
"Prawdziwy Romans",7.9,7.24,"Crime",7.51237839719005,7.85,48430,199807,"Tony Scott","Christian Slater","Patricia Arquette","Dennis Hopper","Val Kilmer",0.724,0.79
"Trzy Kolory: Niebieski",7.9,7.55,"Drama",7.44816027579327,8.39,63180,84739,"Krzysztof Kieslowski","Juliette Binoche","Zbigniew Zamachowski","Julie Delpy","Benoît Régent",0.755,0.79
"Życie Carlita",7.9,7.81,"Crime",7.69228081158085,8.07,93308,194378,"Brian De Palma","Al Pacino","Sean Penn","Penelope Ann Miller","John Leguizamo",0.781,0.79
"Edward Nożycoręki",7.9,7.66,"Drama",7.74246415516962,8.3,388187,433527,"Tim Burton","Johnny Depp","Winona Ryder","Dianne Wiest","Anthony Michael Hall",0.766,0.79
"Moja Lewa Stopa",7.9,7.11,"Biography",7.62842219957968,7.83,16137,65259,"Jim Sheridan","Daniel Day-Lewis","Brenda Fricker","Alison Whelan","Kirsten Sheridan",0.711,0.79
"Rób, Co Należy",7.9,6.64,"Comedy",6.9256080385765,7.69,7478,82136,"Spike Lee","Danny Aiello","Ossie Davis","Ruby Dee","Richard Edson",0.664,0.79
"Zbrodnie I Wykroczenia",7.9,6.61,"Comedy",7.1229635037534,7.49,7698,52983,"Woody Allen","Martin Landau","Woody Allen","Bill Bernstein","Claire Bloom",0.661,0.79
"Nietykalni",7.9,7.62,"Crime",7.82039671667649,8.07,642381,269731,"Brian De Palma","Kevin Costner","Sean Connery","Robert De Niro","Charles Martin Smith",0.762,0.79
"Hannah I Jej Siostry",7.9,6.89,"Comedy",7.42684530978313,7.49,14701,64946,"Woody Allen","Mia Farrow","Dianne Wiest","Michael Caine","Barbara Hershey",0.689,0.79
"Klub Winowajców",7.9,7.19,"Comedy",7.08417728253006,7.28,38644,341709,"John Hughes","Emilio Estevez","Judd Nelson","Molly Ringwald","Ally Sheedy",0.719,0.79
"Brazil",7.9,7.01,"Drama",7.64682975907674,8.15,17324,182669,"Terry Gilliam","Jonathan Pryce","Kim Greist","Robert De Niro","Katherine Helmond",0.701,0.79
"Oto Spinal Tap",7.9,6.34,"Comedy",7.03719337757674,7.13,3587,125376,"Rob Reiner","Rob Reiner","Michael McKean","Christopher Guest","Kimberly Stringer",0.634,0.79
"Blues Brothers",7.9,7.45,"Adventure",7.24081603408599,7.48,98584,176125,"John Landis","John Belushi","Dan Aykroyd","Cab Calloway","John Candy",0.745,0.79
"Manhattan",7.9,7.29,"Comedy",7.02648532903346,7.49,31183,127862,"Woody Allen","Woody Allen","Diane Keaton","Mariel Hemingway","Michael Murphy",0.729,0.79
"Cały Ten Zgiełk",7.9,6.77,"Drama",7.73603785168622,8.28,7471,26632,"Bob Fosse","Roy Scheider","Jessica Lange","Ann Reinking","Leland Palmer",0.677,0.79
"Świt Żywych Trupów",7.9,6.45,"Horror",6.68833922261484,7.14,9896,108208,"George A. Romero","David Emge","Ken Foree","Scott H. Reiniger","Gaylen Ross",0.645,0.79
"Wyjęty Spod Prawa Josey Wales",7.9,6.92,"Western",7.27889474594349,8.59,11760,63330,"Clint Eastwood","Clint Eastwood","Sondra Locke","Chief Dan George","Bill McKinney",0.692,0.79
"Dyskretny Urok Burżuazji",7.9,6.91,"Comedy",6.94017595307918,8.1,11558,36560,"Luis Buñuel","Fernando Rey","Delphine Seyrig","Paul Frankeur","Bulle Ogier",0.691,0.79
"Aguirre, Gniew Boży",7.9,6.83,"Action",7.54478879218849,8.09,10876,50023,"Werner Herzog","Klaus Kinski","Ruy Guerra","Helena Rojo","Del Negro",0.683,0.79
"Harold I Maude",7.9,6.64,"Comedy",6.9681858075769,7.41,5547,68634,"Hal Ashby","Ruth Gordon","Bud Cort","Vivian Pickles","Cyril Cusack",0.664,0.79
"Patton",7.9,6.63,"Biography",7.54566868172506,7.76,13616,91638,"Franklin J. Schaffner","George C. Scott","Karl Malden","Stephen Young","Michael Strong",0.663,0.79
"Dzika Banda",7.9,6.8,"Western",7.25363520140994,7.93,8787,75339,"Sam Peckinpah","William Holden","Ernest Borgnine","Robert Ryan","Edmond O'Brien",0.68,0.79
"W Upalną Noc",7.9,6.46,"Crime",7.14740218899712,7.73,4826,64762,"Norman Jewison","Sidney Poitier","Rod Steiger","Warren Oates","Lee Grant",0.646,0.79
"Szarada",7.9,6.87,"Comedy",7.53845966166118,7.61,10527,64990,"Stanley Donen","Cary Grant","Audrey Hepburn","Walter Matthau","James Coburn",0.687,0.79
"Przeżyliśmy Wojnę",7.9,6.24,"Drama",7.09528833033309,7.55,2031,69684,"John Frankenheimer","Frank Sinatra","Laurence Harvey","Janet Leigh","Angela Lansbury",0.624,0.79
"Spartakus",7.9,6.92,"Adventure",7.63685534131966,8.84,23996,120326,"Stanley Kubrick","Kirk Douglas","Laurence Olivier","Jean Simmons","Charles Laughton",0.692,0.79
"Do Utraty Tchu",7.9,6.97,"Crime",7.10224928582067,7.74,15280,69935,"Jean-Luc Godard","Jean-Paul Belmondo","Jean Seberg","Daniel Boulanger","Henri-Jacques Huet",0.697,0.79
"Hiroszima, Moja Miłość",7.9,6.77,"Drama",7.37009735744089,7.87,6792,26914,"Alain Resnais","Emmanuelle Riva","Eiji Okada","Stella Dassas","Pierre Barbaud",0.677,0.79
"Poszukiwacze",7.9,6.31,"Adventure",7.19048874738667,7.65,3947,77387,"John Ford","John Wayne","Jeffrey Hunter","Vera Miles","Ward Bond",0.631,0.79
"Na Wschód Od Edenu",7.9,7.09,"Drama",7.15237301768325,8.27,15334,38856,"Elia Kazan","James Dean","Raymond Massey","Julie Harris","Burl Ives",0.709,0.79
"W Samo Południe",7.9,7.11,"Western",7.41256095647089,7.96,15978,94654,"Fred Zinnemann","Gary Cooper","Grace Kelly","Thomas Mitchell","Lloyd Bridges",0.711,0.79
"Cud Na 34. Ulicy",7.9,6.25,"Comedy",7.2433629746201,7.45,1705,38809,"George Seaton","Edmund Gwenn","Maureen O'Hara","John Payne","Gene Lockhart",0.625,0.79
"Osławiona",7.9,6.47,"Drama",7.39788576842771,8.48,4165,89320,"Alfred Hitchcock","Cary Grant","Ingrid Bergman","Claude Rains","Louis Calhern",0.647,0.79
"Wielki Sen",7.9,6.8,"Crime",7.68898443860013,7.83,7947,76815,"Howard Hawks","Humphrey Bogart","Lauren Bacall","John Ridgely","Martha Vickers",0.68,0.79
"Stracony Weekend",7.9,6.46,"Drama",7.04173174138355,8.13,3702,32360,"Billy Wilder","Ray Milland","Jane Wyman","Phillip Terry","Howard Da Silva",0.646,0.79
"Filadelfijska Opowieść",7.9,6.6,"Comedy",7.92170282921581,7.98,5433,61300,"George Cukor","Cary Grant","Katharine Hepburn","James Stewart","Ruth Hussey",0.66,0.79
"Dziewczyna Piętaszek",7.9,6.19,"Comedy",7.3412520797826,7.83,2109,51503,"Howard Hawks","Cary Grant","Rosalind Russell","Ralph Bellamy","Gene Lockhart",0.619,0.79
"Dyliżans",7.9,6.46,"Adventure",7.09762787885306,7.65,4379,41365,"John Ford","John Wayne","Claire Trevor","Andy Devine","John Carradine",0.646,0.79
"Drapieżne Maleństwo",7.9,6.3,"Comedy",7.83664646592706,7.83,2545,53271,"Howard Hawks","Katharine Hepburn","Cary Grant","Charles Ruggles","Walter Catlett",0.63,0.79
"Przygody Robin Hooda",7.9,6.24,"Action",7.13667604036011,7.87,2081,45767,"Michael Curtiz","Errol Flynn","Olivia de Havilland","Basil Rathbone","Claude Rains",0.624,0.79
"Noc W Operze",7.9,6.32,"Comedy",6.9385975089647,7.87,2313,29703,"Sam Wood","Groucho Marx","Chico Marx","Harpo Marx","Kitty Carlisle",0.632,0.79
"Dziwolągi",7.9,6.7,"Drama",6.75612104539202,7.47,7842,40669,"Tod Browning","Wallace Ford","Leila Hyams","Olga Baclanova","Roscoe Ates",0.67,0.79
"Nosferatu - Symfonia Grozy",7.9,7.28,"Horror",7.09938650306748,8.15,30744,85632,"F.W. Murnau","Max Schreck","Alexander Granach","Gustav von Wangenheim","Greta Schröder",0.728,0.79
"Klient",7.8,6.8,"Drama",6.88305084745763,7.91,20148,47541,"Asghar Farhadi","Shahab Hosseini","Taraneh Alidoosti","Mina Sadati","Babak Karimi",0.68,0.78
